UID,nodeid,datestamp,timestamp,tempF,ppm1,ppm2,ppm3,lat,long,owner,nodeid_name
74,1,9/4/2021,1:00:00,59,0.066,0.003,0.00157,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
75,1,9/4/2021,2:00:00,72,0.07,0.0057,0.00189,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
76,1,9/4/2021,3:00:00,50,0.047,0.0011,0.0077,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
77,1,9/4/2021,4:00:00,55,0.004,0.0025,0.00584,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
78,1,9/4/2021,5:00:00,67,0.023,0.0024,0.00526,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
79,1,9/4/2021,6:00:00,72,0.014,0.0037,0.00559,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
80,1,9/4/2021,7:00:00,71,0.075,0.0072,0.00826,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
81,1,9/4/2021,8:00:00,64,0.038,0.0049,0.00006,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
82,1,9/4/2021,9:00:00,53,0.01,0.0079,0.00107,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
83,1,9/4/2021,10:00:00,55,0.014,0.0076,0.00877,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
84,1,9/4/2021,11:00:00,82,0.027,0.006,0.00511,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
85,1,9/4/2021,12:00:00,50,0.029,0.0039,0.00846,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
86,1,9/4/2021,13:00:00,66,0.003,0.0053,0.00532,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
87,1,9/4/2021,14:00:00,70,0.007,0.0007,0.0085,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
88,1,9/4/2021,15:00:00,54,0.007,0.0022,0.00623,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
89,1,9/4/2021,16:00:00,79,0.035,0.0078,0.0059,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
90,1,9/4/2021,17:00:00,90,0.073,0.0088,0.009,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
91,1,9/4/2021,18:00:00,70,0.062,0.002,0.00724,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
92,1,9/4/2021,19:00:00,75,0.008,0.008,0.00766,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
93,1,9/4/2021,20:00:00,79,0.012,0.0081,0.00362,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
94,1,9/4/2021,21:00:00,53,0.026,0.0059,0.00866,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
95,1,9/4/2021,22:00:00,89,0.038,0.0043,0.00122,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
96,1,9/4/2021,23:00:00,82,0.036,0.0069,0.00264,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
97,1,9/5/2021,0:00:00,53,0.058,0.001,0.00283,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
98,1,9/5/2021,1:00:00,74,0.016,0.0057,0.00214,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
99,1,9/5/2021,2:00:00,89,0.011,0.0055,0.00706,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
100,1,9/5/2021,3:00:00,76,0.066,0.0025,0.00052,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
101,1,9/5/2021,4:00:00,80,0.073,0.0011,0.00075,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
102,1,9/5/2021,5:00:00,79,0.045,0.007,0.00613,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
103,1,9/5/2021,6:00:00,60,0.005,0.0002,0.00357,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
104,1,9/5/2021,7:00:00,67,0.07,0.0038,0.00213,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
105,1,9/5/2021,8:00:00,78,0.041,0.0088,0.00411,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
106,1,9/5/2021,9:00:00,86,0.069,0.0056,0.0083,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
107,1,9/5/2021,10:00:00,50,0.055,0.001,0.00703,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
108,1,9/5/2021,11:00:00,85,0.06,0.0074,0.00058,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
109,1,9/5/2021,12:00:00,78,0.054,0.004,0.00535,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
110,1,9/5/2021,13:00:00,56,0.069,0.0073,0.00263,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
111,1,9/5/2021,14:00:00,82,0.054,0.0024,0.00499,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
112,1,9/5/2021,15:00:00,69,0.031,0.0037,0.00584,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
113,1,9/5/2021,16:00:00,89,0.005,0.0037,0.00592,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
114,1,9/5/2021,17:00:00,73,0.02,0.0082,0.00845,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
115,1,9/5/2021,18:00:00,55,0.067,0.0041,0.00367,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
116,1,9/5/2021,19:00:00,78,0.04,0.0022,0.00466,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
117,1,9/5/2021,20:00:00,66,0.033,0.0078,0.00687,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
118,1,9/5/2021,21:00:00,74,0.073,0.0019,0.00835,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
119,1,9/5/2021,22:00:00,81,0.049,0.0024,0.00098,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
120,1,9/5/2021,23:00:00,62,0.069,0.0036,0.00279,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
121,1,9/6/2021,0:00:00,62,0.003,0.003,0.00463,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
122,1,9/6/2021,1:00:00,90,0.028,0.0086,0.00101,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
123,1,9/6/2021,2:00:00,61,0.074,0.0041,0.00214,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
124,1,9/6/2021,3:00:00,53,0.059,0.0002,0.00658,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
125,1,9/6/2021,4:00:00,83,0.033,0.0053,0.00239,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
126,1,9/6/2021,5:00:00,67,0.045,0.007,0.00618,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
127,1,9/6/2021,6:00:00,68,0.021,0.0077,0.0078,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
128,1,9/6/2021,7:00:00,74,0.056,0.0014,0.00715,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
129,1,9/6/2021,8:00:00,52,0.005,0.0083,0.0001,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
130,1,9/6/2021,9:00:00,72,0.025,0.0019,0.00033,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
131,1,9/6/2021,10:00:00,55,0.003,0.0052,0.0084,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
132,1,9/6/2021,11:00:00,80,0.054,0.0004,0.00212,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
133,1,9/6/2021,12:00:00,55,0.015,0.004,0.00846,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
134,1,9/6/2021,13:00:00,54,0.027,0.0063,0.00274,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
135,1,9/6/2021,14:00:00,90,0.034,0.0076,0.00311,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
136,1,9/6/2021,15:00:00,53,0.025,0.0057,0.0062,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
137,1,9/6/2021,16:00:00,79,0.012,0.0075,0.00437,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
138,1,9/6/2021,17:00:00,61,0.034,0.002,0.00659,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
139,1,9/6/2021,18:00:00,74,0.035,0.0022,0.00802,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
140,1,9/6/2021,19:00:00,78,0.053,0.0088,0.00769,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
141,1,9/6/2021,20:00:00,60,0.033,0.0065,0.00403,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
142,1,9/6/2021,21:00:00,51,0.03,0.0017,0.00672,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
143,1,9/6/2021,22:00:00,87,0.054,0.0066,0.00364,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
144,1,9/6/2021,23:00:00,57,0.017,0.0022,0.00465,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
145,1,9/7/2021,0:00:00,85,0.052,0.0041,0.00166,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
146,1,9/7/2021,1:00:00,71,0.037,0.0025,0.00642,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
147,1,9/7/2021,2:00:00,60,0.028,0.004,0.00313,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
148,1,9/7/2021,3:00:00,54,0.063,0.0033,0.00593,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
149,1,9/7/2021,4:00:00,78,0.068,0.0023,0.00586,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
150,1,9/7/2021,5:00:00,67,0.008,0.0065,0.00034,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
151,1,9/7/2021,6:00:00,51,0.032,0.0045,0.00621,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
152,1,9/7/2021,7:00:00,52,0.03,0.0024,0.00005,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
153,1,9/7/2021,8:00:00,62,0.013,0.0011,0.00376,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
154,1,9/7/2021,9:00:00,65,0.034,0.0065,0.00707,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
155,1,9/7/2021,10:00:00,61,0.021,0.0027,0.00676,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
156,1,9/7/2021,11:00:00,57,0.001,0.0056,0.00743,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
157,1,9/7/2021,12:00:00,56,0.067,0.0019,0.00136,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
158,1,9/7/2021,13:00:00,59,0.049,0.0061,0.00017,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
159,1,9/7/2021,14:00:00,56,0.066,0.0078,0.00647,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
160,1,9/7/2021,15:00:00,55,0.03,0.0044,0.00888,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
161,1,9/7/2021,16:00:00,90,0.019,0.0028,0.00294,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
162,1,9/7/2021,17:00:00,84,0.027,0.002,0.00715,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
163,1,9/7/2021,18:00:00,71,0.036,0.0022,0.001,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
164,1,9/7/2021,19:00:00,86,0.052,0.0023,0.00629,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
165,1,9/7/2021,20:00:00,62,0.034,0.0008,0.00327,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
166,1,9/7/2021,21:00:00,56,0.02,0.0015,0.00193,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
167,1,9/7/2021,22:00:00,60,0.046,0.0003,0.00413,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
168,1,9/7/2021,23:00:00,89,0.035,0.0012,0.00065,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
169,1,9/8/2021,0:00:00,83,0.038,0.0029,0.00395,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
170,1,9/8/2021,1:00:00,81,0.07,0.0012,0.00588,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
171,1,9/8/2021,2:00:00,57,0.014,0.0024,0.00462,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
172,1,9/8/2021,3:00:00,64,0.002,0.0007,0.00511,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
173,1,9/8/2021,4:00:00,71,0.059,0.0033,0.00225,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
174,1,9/8/2021,5:00:00,55,0.039,0.0077,0.00097,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
175,1,9/8/2021,6:00:00,61,0.05,0.0033,0.00058,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
176,1,9/8/2021,7:00:00,55,0.066,0.005,0.00547,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
177,1,9/8/2021,8:00:00,82,0.03,0.0061,0.00336,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
178,1,9/8/2021,9:00:00,69,0.02,0.0003,0.00375,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
179,1,9/8/2021,10:00:00,74,0.002,0.0004,0.00765,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
180,1,9/8/2021,11:00:00,50,0.057,0.005,0.00224,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
181,1,9/8/2021,12:00:00,71,0.031,0.0005,0.00181,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
182,1,9/8/2021,13:00:00,50,0.034,0.0003,0.00675,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
183,1,9/8/2021,14:00:00,76,0.073,0.0066,0.00062,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
184,1,9/8/2021,15:00:00,63,0.048,0.0026,0.00268,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
185,1,9/8/2021,16:00:00,85,0.017,0.0059,0.00292,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
186,1,9/8/2021,17:00:00,53,0.069,0.008,0.00375,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
187,1,9/8/2021,18:00:00,88,0.073,0.009,0.0084,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
188,1,9/8/2021,19:00:00,58,0.011,0.0027,0.00002,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
189,1,9/8/2021,20:00:00,55,0.007,0.0017,0.00723,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
190,1,9/8/2021,21:00:00,62,0.054,0.0035,0.00612,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
191,1,9/8/2021,22:00:00,87,0.053,0.0066,0.00204,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
192,1,9/8/2021,23:00:00,55,0.027,0.0085,0.00604,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
193,1,9/9/2021,0:00:00,88,0.029,0.003,0.00392,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
194,1,9/9/2021,1:00:00,67,0.054,0.0049,0.00885,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
195,1,9/9/2021,2:00:00,61,0.063,0.0048,0.00793,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
196,1,9/9/2021,3:00:00,79,0.029,0.0006,0.00493,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
197,1,9/9/2021,4:00:00,66,0.049,0.0063,0.00702,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
198,1,9/9/2021,5:00:00,82,0.059,0.0014,0.00776,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
199,1,9/9/2021,6:00:00,67,0.028,0.0016,0.00439,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
200,1,9/9/2021,7:00:00,66,0.056,0.003,0.001,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
201,1,9/9/2021,8:00:00,85,0.059,0.0016,0.00683,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
202,1,9/9/2021,9:00:00,66,0.044,0.0061,0.00212,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
203,1,9/9/2021,10:00:00,55,0.005,0.0049,0.00682,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
204,1,9/9/2021,11:00:00,88,0.068,0.0004,0.00512,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
205,1,9/9/2021,12:00:00,81,0.002,0.0009,0.00124,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
206,1,9/9/2021,13:00:00,73,0.047,0.0066,0.00697,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
207,1,9/9/2021,14:00:00,89,0.068,0.0015,0.00442,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
208,1,9/9/2021,15:00:00,77,0.037,0.0041,0.00627,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
209,1,9/9/2021,16:00:00,54,0.004,0.0024,0.00793,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
210,1,9/9/2021,17:00:00,78,0.025,0.0084,0.0088,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
211,1,9/9/2021,18:00:00,53,0.047,0.0034,0.00516,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
212,1,9/9/2021,19:00:00,58,0.043,0.0005,0.00054,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
213,1,9/9/2021,20:00:00,88,0.024,0.0065,0.0016,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
214,1,9/9/2021,21:00:00,61,0.049,0.0032,0.00835,47.23667,-93.53922,Glen's Army & Navy Store,gans_0_2356
